localisation\russian\KR_country_specific\PIR - Piratini l_russian.yml

l_russian:

 piratini_focus: "Piratini Focus Tree"

### Ideas ###
 PIR_bagual: "Tattered Spirit"
 PIR_bagual_desc: "A cult of offence arose in our reborn military, an élan based on the bravery of our soldiers, then and now."

 PIR_mobility: "Offensive Mobility"
 PIR_mobility_desc: "Our Republic is based on the legacy of our founding fathers, among these the military genius Giuseppe Garibaldi, whose Lavoro Famoso is a mark in the skill of battlefield mobility. Such legacy heavily influences the officers of our young Republic."

 PIR_pioneers: "School of Aviation"
 PIR_pioneers_desc: "Our pilots are heavily trained before allowed to pilot our few modern warplanes. They will show their skill, in time."

 PIR_phoenixi: "Rio Grande Reborn"
 PIR_phoenixi_desc: "Our fate as a young nation relies on our bravery, our skill, and our will to defend the Second Piratini Republic against our enemies."

 PIR_csp: "Consolidated State Policies"
 PIR_csp_desc: "The government of the young state of Piratini has finally put together an efficient government plan, and is reaping benefits from enacting it in practice."

### Characters ###
 PIR_jose_antonio_matos_netto: "José Antonio Matos Netto"
 PIR_jose_antonio_matos_netto_leader_desc: "§YBorn:§! §LJune 24th, 1854, in Bagé, Rio Grande do Sul, Empire of Brazil§!"
 PIR_jose_antonio_flores_da_cunha: "José Antônio Flores da Cunha"
 PIR_jose_antonio_flores_da_cunha_leader_desc: "§YBorn:§! §LMarch 5th, 1881, in Santana do Livramento, Rio Grande do Sul, United States of Brazil§!"

### Parties ###
 PIR_social_democrat_party: "PDT"
 PIR_social_democrat_party_long: "Partido Democrata Trabalhista"
 PIR_social_conservative_party: "PRRG"
 PIR_social_conservative_party_long: "Partido Republicano Rio-Grandense"
 PIR_authoritarian_democrat_party: "CS"
 PIR_authoritarian_democrat_party_long: "Coalisão Serrana"
 PIR_paternal_autocrat_party: "PC"
 PIR_paternal_autocrat_party_long: "Partido Conservador"
 PIR_national_populist_party: "GPS"
 PIR_national_populist_party_long: "Guarda de Proteção Sulista"
 PIR_social_liberal_party: "PLG"
 PIR_social_liberal_party_long: "Partido Liberal Gaucho"
 PIR_market_liberal_party: "PF"
 PIR_market_liberal_party_long: "Partido Federal"
 PIR_radical_socialist_party: "FS"
 PIR_radical_socialist_party_long: "Frente Socialista"
 PIR_syndicalist_party: "PS"
 PIR_syndicalist_party_long: "Partido Sindicalista"
 PIR_totalist_party: "M3"
 PIR_totalist_party_long: "Movimento Maximista Meridional"

### Country Names ###
 PIR: "Piratini"
 PIR_ADJ: "Gaúcho"
 PIR_DEF: "Piratini"

 PIR_totalist: "Riograndense Commune"
 PIR_totalist_DEF: "the Riograndense Commune"
 PIR_syndicalist: "Riograndense Commune"
 PIR_syndicalist_DEF: "the Riograndense Commune"
 PIR_radical_socialist: "Riograndense Commune"
 PIR_radical_socialist_DEF: "the Riograndense Commune"

 PIR_REB: "Rio Grande do Sul"
 PIR_REB_ADJ: "Gaucho"
 PIR_REB_DEF: "Rio Grande do Sul"

### Focuses ###
 PIR_mil: "Newborn Armed Forces"
 PIR_mil_desc: "Our military was disbanded a century ago, and we will need great, sweeping efforts to establish a modern fighting force."

 PIR_mil2: "The Riograndense Armed Forces"
 PIR_mil2_desc: "Our armed forces organisation continues; now with special naval, aerial and ground branches, we will forge our military into the envy of all."

 PIR_army: "Artillery Battalions"
 PIR_army_desc: "Our artillery pieces are not up the standards of modern warfare, especially when considering the relative abundance of them in our armed forces."

 PIR_doct: "Modern Combat Doctrine"
 PIR_doct_desc: "The ways of war are ever changing, and our rising nation will not cling to old ideas and principles, but to what is truly shaping the modern battlefield."

 PIR_eq: "Infantry Equipment Manufacturing"
 PIR_eq_desc: "In order to ensure our safety, we need to ensure our armed forces are well armed enough to defend us."

 PIR_miltech: "Military Technology Effort"
 PIR_miltech_desc: "If we fail to adapt to the new mechanisms of war, we will fall just like our forerunners did a century ago."

 PIR_farrapo_legacy: "Tattered Spirit"
 PIR_farrapo_legacy_desc: "A cult of offence arises in our reborn military, an élan based on the bravery of our soldiers, then and now."

 PIR_navy: "Navy of Rio Grande"
 PIR_navy_desc: "In order to protect our coastline, from Chuí to Paranágua bay, we need a navy, and organised and staffed one as well. This will take some effort, however."

 PIR_lavoro_famoso: "Lavoro Famoso"
 PIR_lavoro_famoso_desc: "Our Republic is based on the legacy of our founding fathers, among these the military genius Giuseppe Garibaldi, whose Lavoro Famoso is a mark in the skill of battlefield mobility. Such legacy heavily influences the officers of our young Republic."

 PIR_rio_grande: "Modernise Porto Alegre Shipyards"
 PIR_rio_grande_desc: "Porto Alegre has been a trading port for many years, but its shipyards are ill-suited for military proposes. We will attempt to change that as quickly as possible."

 PIR_sea_brigands: "Sea Brigands"
 PIR_sea_brigands_desc: "Submarines are an effective way for a small navy such as ours to be effective on modern war, and thus they will be our focus."

 PIR_elite: "Specialist Training"
 PIR_elite_desc: "The best of the best will be gathered to train an elite force that will fight the most important battles in our young history."

 PIR_air: "Air Force of Rio Grande"
 PIR_air_desc: "We will establish a modern air force, one that can stand to the challenges of modern war."

 PIR_flying_aces: "Aviation Schools"
 PIR_flying_aces_desc: "Our new and few airplanes will need skilled pilots, and thus our aviation and flying schools will provide us with the best of the best among us."

 PIR_bomb: "Bomber Aircraft Focus"
 PIR_bomb_desc: "Hitting targets from incredible heights and maintaining a hold of a heavy bomber are hard enough tasks, we need no need to make them harder by forcing our men to pilot museum pieces!"

 PIR_cas_focus: "Dive Bombing Training"
 PIR_cas_focus_desc: "Our best bombers will ensure that we can control the battlefield, by providing close air support to our army."

 PIR_para: "Divisões Paraquedistas"
 PIR_para_desc: "A well done paradrop can change a war, and thus we will ensure that our staff and soldiers are ready to properly do their duty."

 PIR_tattered_pride: "Complete Army Reform"
 PIR_tattered_pride_desc: "Now our army has been reborn, and we truly have a modern force, worthy of parading in Porto Alegre and of defending our republic both from invaders and northern aggression."

 PIR_phoenix: "Rio Grande Reborn"
 PIR_phoenix_desc: "May our deeds be an example to all of the Earth!"

 PIR_pp: "Government Rebuilding"
 PIR_pp_desc: "Rebuilding a government after a century of occupation is no simple matter."

 PIR_good_govt: "Efficient Rule"
 PIR_good_govt_desc: "The people already feel safer and better off under us than under Northern Occupation, and thus we have more leeway for more sweeping reforms."

 PIR_consolidated_state_policies: "Consolidated State Policies"
 PIR_consolidated_state_policies_desc: "The government of our young state has finally put together an efficient government plan, and is reaping benefits from enacting it in practice."

 PIR_eco: "First Census of the Republic"
 PIR_eco_desc: "In order to properly plan for the future, we must assess the present; a through census will be made, and we will be able to start our economic efforts."

 PIR_infra: "Infrastructure Renewal"
 PIR_infra_desc: "The beaten tracks Brazil bothered to build in our lands are no proper way of travel; modernity much reach all corners of the Republic."

 PIR_infra2: "Infrastructure Investments"
 PIR_infra2_desc: "We will redouble our infrastructure efforts, and ensure our major cities are well linked."

 PIR_manufact: "Rekindle Local Manufacturing"
 PIR_manufact_desc: "Predatory Brazilian practices have prevented the hardworking Riograndense people to reach their manufacturing potential. No more!"

 PIR_plan_goncalves: "Plan Gonçalves"
 PIR_plan_goncalves_desc: "Sweeping reform of our industries will commence, as so to keep it in par with the most modern on earth!"

 PIR_hvyind: "Heavy Industry Incentives"
 PIR_hvyind_desc: "We will do heavy industry a favour, and ensure it can do its part in rebuilding Rio Grande."

 PIR_education_reform: "Extensive Education Reform"
 PIR_education_reform_desc: "Our education system is still too Brazilian to be effective; sweeping reforms are in order."

 PIR_manufact2: "Extensive Industrialisation"
 PIR_manufact2_desc: "The next step of plan Gonçalves begins: The building of said modern facilities."

 PIR_armyind: "Military Industrial Contracts"
 PIR_armyind_desc: "We should invest in our military through contracts to create more weapons."

 PIR_mic: "Military Industrial Complex"
 PIR_mic_desc: "We will ensure the best, brightest and most capable men are working on the equipment of our armed forces."

localisation\russian\KR_country_specific\PJB - Punjab l_russian.yml

l_russian:

### Characters ###

 PJB_sajjad_zaheer: "Sajjad Zaheer"
 PJB_sajjad_zaheer_leader_desc: "§YBorn:§! §LNovember 5th, 1905, in Lucknow, United Provinces of Agra and Oudh, British India§!"
 PJB_mian_iftikharuddin: "Mian Iftikharuddin"
 PJB_mian_iftikharuddin_leader_desc: "§YBorn:§! §LApril 8th, 1907, in Lahore, Province of the Punjab, British India§!"
 PJB_sultan_muhammed_shah: "Sultan Muhammed Shah"
 PJB_sultan_muhammed_shah_advisor_desc: "§YBorn:§! §LNovember 2nd, 1877, in Karachi, Presidency of Bombay, British India§!"
 PJB_liaquat_ali_khan: "Liaquat Ali Khan"
 PJB_liaquat_ali_khan_advisor_desc: "§YBorn:§! §LOctober 1st, 1895, in Karnal, Province of the Punjab, British India§!"
 PJB_allama_mashriqi: "Allama Mashriqi"
 PJB_allama_mashriqi_leader_desc: "§YBorn:§! §LAugust 25th, 1888, in Amritsar, Province of the Punjab, British India§!"
 PJB_akbar_khan: "Akbar Khan"
 PJB_akbar_khan_leader_desc: "§YBorn:§! §LDecember 1st, 1912, in Utmanzai, North-West Frontier Province, British India§!"
 PJB_abul_ala_maududi: "Abul A'la Maududi"
 PJB_abul_ala_maududi_leader_desc: "§YBorn:§! §LSeptember 25th, 1903, in Aurangabad, Hyderabad State, India§!"

### Country Names ###

 PJB: "Punjab"
 PJB_ADJ: "Punjabi"
 PJB_DEF: "Punjab"
 PJB_totalist: "Punjab Kirti Republic"
 PJB_totalist_DEF: "the Punjab Kirti Republic"
 PJB_syndicalist: "Punjab Kirti Republic"
 PJB_syndicalist_DEF: "the Punjab Kirti Republic"
 PJB_radical_socialist: "Punjab Kirti Republic"
 PJB_radical_socialist_DEF: "the Punjab Kirti Republic"
 PJB_social_democrat: "Punjab Kirti Republic"
 PJB_social_democrat_DEF: "the Punjab Kirti Republic"
 PJB_social_liberal: "Islamic Republic of Punjab"
 PJB_social_liberal_DEF: "the Islamic Republic of Punjab"
 PJB_market_liberal: "Islamic Republic of Punjab"
 PJB_market_liberal_DEF: "the Islamic Republic of Punjab"
 PJB_national_populist: "Islamic State of Punjab"
 PJB_national_populist_DEf: "the Islamic State of Punjab"

 PJB_pakistan: "Pakistan"
 PJB_pakistan_ADJ: "Pakistani"
 PJB_pakistan_DEF: "Pakistan"
 PJB_pakistan_totalist: "Pakistan Kirti Republic"
 PJB_pakistan_totalist_DEF: "the Pakistan Kirti Republic"
 PJB_pakistan_syndicalist: "Pakistan Kirti Republic"
 PJB_pakistan_syndicalist_DEF: "the Pakistan Kirti Republic"
 PJB_pakistan_radical_socialist: "Pakistan Kirti Republic"
 PJB_pakistan_radical_socialist_DEF: "the Pakistan Kirti Republic"
 PJB_pakistan_social_democrat: "Pakistan Kirti Republic"
 PJB_pakistan_social_democrat_DEF: "the Pakistan Kirti Republic"
 PJB_pakistan_social_liberal: "Islamic Republic of Pakistan"
 PJB_pakistan_social_liberal_DEF: "the Islamic Republic of Pakistan"
 PJB_pakistan_market_liberal: "Islamic Republic of Pakistan"
 PJB_pakistan_market_liberal_DEF: "the Islamic Republic of Pakistan"
 PJB_pakistan_national_populist: "Islamic State of Pakistan"
 PJB_pakistan_national_populist_DEf: "the Islamic State of Pakistan"

 PJB_pakistan_shortname: "Pakistan"
 PJB_punjab_shortname: "Punjab"

### Party Names ###

 PJB_totalist_party_long: "Communist Party of Punjab"
 PJB_totalist_party: "CPP"
 PJB_pakistan_totalist_party_long: "Communist Party of Pakistan"
 PJB_pakistan_totalist_party: "CPP"
 PJB_syndicalist_party_long: "$PJB_totalist_party_long$"
 PJB_syndicalist_party: "CPP"
 PJB_pakistan_syndicalist_party_long: "$PJB_pakistan_totalist_party_long$"
 PJB_pakistan_syndicalist_party: "CPP"
 PJB_radical_socialist_party_long: "$PJB_totalist_party_long$"
 PJB_radical_socialist_party: "CPP"
 PJB_pakistan_radical_socialist_party_long: "$PJB_pakistan_totalist_party_long$"
 PJB_pakistan_radical_socialist_party: "CPP"
 PJB_social_democrat_party_long: "Azad Punjab Party"
 PJB_social_democrat_party: "Azad Punjab"
 PJB_pakistan_social_democrat_party_long: "Azad Pakistan Party"
 PJB_pakistan_social_democrat_party: "Azad Pakistan"
 PJB_social_liberal_party_long: "Democratic Party"
 PJB_social_liberal_party: "Democratic Party"
 PJB_market_liberal_party_long: "Democratic Party"
 PJB_market_liberal_party: "Democratic Party"
 PJB_social_conservative_party_long: "Muslim League"
 PJB_social_conservative_party: "Muslim League"
 PJB_authoritarian_democrat_party_long: "Muslim League"
 PJB_authoritarian_democrat_party: "Muslim League"
 PJB_paternal_autocrat_party_long: "Punjab Army"
 PJB_paternal_autocrat_party: "Punjab Army"
 PJB_pakistan_paternal_autocrat_party_long: "Pakistan Army"
 PJB_pakistan_paternal_autocrat_party: "Pakistan Army"
 PJB_national_populist_party_long: "Daru'l-Islam (House of Islam)"
 PJB_national_populist_party: "Daru'l-Islam"

